ticker,strategy,side,grade,train_n,train_win_rate,train_avg_win_R,train_expectancy_R,train_profit_factor,train_max_dd_R,test_n,test_win_rate,test_avg_win_R,test_expectancy_R,test_profit_factor,test_max_dd_R
KO,retest,long,B (thin),9,0.1111111111111111,1.974496389187301,-0.7360258655912567,0.22962653526670748,5.566139961889471,3,0.6666666666666666,1.974701046963636,0.9550469759636986,3.6424822889907875,1.0842611660361763
KO,retest,short,B (thin),2,0.0,0.0,-1.0407026834028446,0.0,1.0372120324669765,0,0.0,0.0,0.0,0.0,0.0
CAT,pullback,long,B (thin),2,0.5,1.9378417067036253,0.4227637531034083,1.7740698654492013,1.0923142004968087,1,1.0,1.958883005967721,1.958883005967721,99.0,0.0
CAT,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CAT,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0268669565810284,0.0,0.0
CAT,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CAT,retest,long,B (thin),8,0.5,1.9735259498295585,0.4678619959250836,1.9016402259175047,1.051732450183353,6,0.5,1.9704236414387963,0.4706173846511332,1.914540367452986,2.075610378458091
CAT,retest,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MRK,pullback,long,B (thin),1,1.0,1.9562136363815916,1.9562136363815916,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MRK,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MRK,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MRK,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MRK,retest,long,B (thin),8,0.875,1.9670957996599718,1.5940872091014895,13.539859579074793,1.016972924807888,5,0.6,1.9595174794600716,0.7637182041321318,2.8537196802879747,1.0327979180765123
MRK,retest,short,B (thin),2,0.0,0.0,-1.0144740855113445,0.0,1.0114542909524826,0,0.0,0.0,0.0,0.0,0.0
AMAT,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMAT,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMAT,breakout,long,B (thin),1,1.0,1.9880375197891875,1.9880375197891875,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMAT,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMAT,retest,long,B (thin),10,0.4,1.9854757719077656,0.18037331408319707,1.2938551973088617,4.149343749554088,4,0.25,1.969355424776298,-0.2765583224198868,0.6403181984378982,3.0755887144558454
AMAT,retest,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
UNH,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
UNH,pullback,short,B (thin),1,0.0,0.0,-1.0548353422763619,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
UNH,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
UNH,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
